track_id,artist,label,year,bpm,subgenre,why_included,file_path,file_hash,hash_algo,license_proof,synthetic,synth_spec
syn-mt-a,Kontinuum Fixture,fixture-lab,2026,128.0,minimal-techno,synthetic reference track - straight groove family,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-a
syn-mt-b,Kontinuum Fixture,fixture-lab,2026,126.0,minimal-techno,synthetic reference track - swung groove family,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-b
syn-mt-c,Kontinuum Fixture,fixture-lab,2026,130.0,minimal-techno,synthetic reference track - pushed groove family,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-c
syn-mh-a,Kontinuum Fixture,fixture-lab,2026,124.0,microhouse,synthetic reference track - straight groove family no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-a
syn-mh-b,Kontinuum Fixture,fixture-lab,2026,122.0,microhouse,synthetic reference track - swung groove family no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-b
syn-mh-c,Kontinuum Fixture,fixture-lab,2026,125.0,microhouse,synthetic reference track - pushed groove family no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-c
syn-mt-d,Kontinuum Fixture,fixture-lab,2026,129.0,minimal-techno,synthetic reference track - straight groove family variant 2,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-d
syn-mt-e,Kontinuum Fixture,fixture-lab,2026,127.0,minimal-techno,synthetic reference track - swung groove family variant 2,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-e
syn-mt-f,Kontinuum Fixture,fixture-lab,2026,131.0,minimal-techno,synthetic reference track - pushed groove family variant 2,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mt-f
syn-mh-d,Kontinuum Fixture,fixture-lab,2026,126.0,microhouse,synthetic reference track - straight groove family variant 2 no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-d
syn-mh-e,Kontinuum Fixture,fixture-lab,2026,121.0,microhouse,synthetic reference track - swung groove family variant 2 no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-e
syn-mh-f,Kontinuum Fixture,fixture-lab,2026,123.0,microhouse,synthetic reference track - pushed groove family variant 2 no-build template,,,fnv1a64,synthetic: rendered in-repo by kontinuum-analysis synthgen; no third-party content,true,mh-f
